material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-557448,Ba2CaUO6,0.0,-3.550436109999999,True,6.390476254501157,337.1538572711704,20,2.1947,False,False,Ca,Ba2UO6,1,2.0114777,0.08598875254392624,True,False
mp-1203415,Ba2CaV2CoF14,0.0,-3.539550328499999,True,4.271506260604908,576.5332191868251,40,2.5605,False,False,Ca,Ba2V2CoF14,1,3.406151,0.08598875254392624,True,False
mp-1214736,Ba2CaV2FeF14,0.0,-3.582641879750001,True,4.235541280703312,579.0072521489191,40,1.021400463793015,False,True,Ca,Ba2V2FeF14,1,3.3442872,0.08598875254392624,True,False
mp-669377,Ba2CaWN4,0.00415725312500026,-1.1438251190625,False,6.14478414557673,599.4892273891019,32,1.8491,False,False,Ca,Ba2WN4,1,0.03313257,0.08598875254392624,True,False
mp-18977,Ba2CaWO6,0.0030402209999991214,-3.0296963500000005,False,6.377210101411496,154.81755213407968,10,3.183,False,False,Ca,Ba2WO6,1,0.6529804,0.08598875254392624,True,False
mp-19098,Ba2CaWO6,0.0,-3.0327365709999996,True,6.377787419501912,154.80353803049138,10,3.2912,False,False,Ca,Ba2WO6,1,0.6529804,0.08598875254392624,True,False
mp-19182,Ba2CaWO6,0.0025274979999991842,-3.0302090730000004,False,6.37369048935799,154.90304384778858,10,3.1866000000000003,False,False,Ca,Ba2WO6,1,0.6529804,0.08598875254392624,True,False
mp-1520571,Ba2CaWO6,0.004992724499999213,-3.0277438465000004,False,6.362965168761108,620.6565845699799,40,3.191,False,True,Ca,Ba2WO6,1,0.6529804,0.08598875254392624,True,False
mp-1228573,Ba2CaY(Co4O7)2,0.028907650967539666,-1.9498587542307702,False,4.921557132601337,370.83592761125755,26,0.54,False,True,Ca,Ba2Y(Co4O7)2,1,2.7124064,0.08598875254392624,True,False
mp-6075,Ba2Li(BO2)5,0.0,-3.0323629096759266,True,3.7706860868410046,436.54454776706456,36,4.951700000000001,False,False,Li,Ba2(BO2)5,1,0.96950066,0.08598875254392624,True,False
mp-1228731,Ba2Li3La3(MoO4)8,0.02044172328124283,-2.550504211145834,False,4.738519306363913,697.9577026530231,48,2.5090031097546563,False,True,Li,Ba2La3(MoO4)8,1,3.0550587,0.08598875254392624,True,False
mp-1228739,Ba2Li3Y3(MoO4)8,0.047419115963542424,-2.530619855833334,False,4.621221303947921,661.7746436663092,48,2.2428037644411187,False,True,Li,Ba2Y3(MoO4)8,1,2.9828057,0.08598875254392624,True,False
mp-1197768,Ba2LiAl(CN2)4,0.0,-0.8702118541145838,True,3.0918707454229963,1006.8334534914363,64,4.1427,False,False,Li,Ba2Al(CN2)4,1,0.6805382,0.08598875254392624,True,False
mp-1235553,Ba2LiEu(CuO2)4,0.027637014062500853,-1.9519192223958335,False,6.0875670194612725,222.51338618204653,16,0.0,True,True,Li,Ba2Eu(CuO2)4,1,1.1340914,0.08598875254392624,True,False
mp-8924,Ba2LiFe2N3,0.014259522083327703,-0.5727593635416666,False,5.275289066583456,274.047968301489,16,0.0,True,False,Li,Ba2Fe2N3,1,0.8109194,0.08598875254392624,True,False
mp-17491,Ba2LiGe3,0.0,-0.5645158943055572,True,4.902861187367726,676.7184640256156,24,0.09699999999999998,False,False,Li,Ba2Ge3,1,0.14107132,2.595773935317993,True,False
mp-1207120,Ba2LiIO6,0.0,-2.2351833338333336,True,5.843657699673184,143.35800371925222,10,2.0784,False,True,Li,Ba2IO6,1,2.089445,0.08598875254392624,True,False
mp-10584,Ba2LiOsO6,0.0,-2.4420123233333335,True,6.816914769501713,138.31618125654984,10,0.0,True,False,Li,Ba2OsO6,1,1.3056234,0.08598875254392624,True,False
mp-10555,Ba2LiReN4,0.0,-0.9633605801041671,True,6.095159029447969,285.4193577634219,16,1.7902,False,False,Li,Ba2ReN4,1,0.6580497,0.08598875254392624,True,False
mp-6270,Ba2LiReO6,0.0,-2.741621015583333,True,6.705229390011655,139.62374972423694,10,1.8198000000000003,False,False,Li,Ba2ReO6,1,1.2600468,0.08598875254392624,True,False
mp-15521,Ba2LiSi3,0.0,-0.3942126338888888,True,3.7267752958906977,652.0497330148695,24,0.09229999999999983,False,False,Li,Ba2Si3,1,0.32599822,2.479295015335083,True,False
mp-1214633,Ba2LiTeO6,0.0,-2.382827871,True,5.791769561234483,144.84175313141884,10,0.0,True,True,Li,Ba2TeO6,1,1.7088562,0.08598875254392624,True,False
mp-1214701,Ba2LiUO6,0.01997299805357855,-3.137867112833333,False,6.669693902256285,306.5392779209317,20,0.0,True,True,Li,Ba2UO6,1,2.171229,0.08598875254392624,True,False
mp-14558,Ba2Mg(PO4)2,0.0,-3.2307163659065994,True,4.245086376711848,764.969512062722,52,4.696999999999999,False,False,Mg,BaPO4,1,0.29392323,0.08598875254392624,True,False
